method,maxsize,instance,time,objective
level,60,N-t70l11xx_150,4.086242914199829,417528
level,60,N-t70n11xx_150,5.860062837600708,895678
level,60,N-t74d11xx_150,62.24516844749451,8766980
level,60,N-t75d11xx_150,18.56350827217102,9045592
level,60,N-t75e11xx_150,14.726783514022827,39146823
level,60,N-t75k11xx_150,7.363192319869995,1443893
level,60,N-t75n11xx_150,3.946117639541626,1654858
level,60,N-tiw56n54_150,46.06308436393738,772724
level,60,N-tiw56n58_150,5.57049036026001,1072823
level,60,N-tiw56n62_150,102.49581694602966,1527016
level,60,N-tiw56n66_150,29.78620481491089,1956705
level,60,N-tiw56n67_150,19.848248720169067,2222779
level,60,N-tiw56n72_150,21.83988070487976,3881051
level,60,N-tiw56r54_150,54.899662494659424,894152
level,60,N-tiw56r58_150,5.285801410675049,1141516
level,60,N-tiw56r66_150,7.822729825973511,1786533
level,60,N-tiw56r67_150,37.08733940124512,1927467
level,60,N-tiw56r72_150,9.395821809768677,2631879
mincut,1,N-be75eec_150,3.1819992065429688,3256266
mincut,1,N-be75np_150,3.330538272857666,6716082
mincut,1,N-be75oi_150,2.661264181137085,2181258
mincut,1,N-be75tot_150,3.65800142288208,11412753
mincut,1,N-stabu1_150,3.4446861743927,2694692
mincut,1,N-stabu2_150,3.427676200866699,4030872
mincut,1,N-stabu3_150,3.310600519180298,4212125
mincut,1,N-t59b11xx_150,2.4715425968170166,2994980
mincut,1,N-t59d11xx_150,2.617531538009644,1349840
mincut,1,N-t59f11xx_150,2.605000257492065,1421133
mincut,1,N-t59n11xx_150,2.952031373977661,299030
mincut,1,N-t65b11xx_150,3.4135935306549072,6064998
mincut,1,N-t65d11xx_150,3.336800575256348,3281452
mincut,1,N-t65f11xx_150,3.38067889213562,2924555
mincut,1,N-t65l11xx_150,1.4987969398498535,242237
mincut,1,N-t65n11xx_150,3.085756778717041,521319
mincut,1,N-t69r11xx_150,2.8202905654907227,11008310
mincut,1,N-t70b11xx_150,3.145159244537353,9120425
mincut,1,N-t70d11xn_150,3.737666606903076,5385664
mincut,1,N-t70d11xx_150,3.7404398918151855,5756858
mincut,1,N-t70f11xx_150,3.164907693862915,4780494
mincut,1,N-t70l11xx_150,1.7118229866027832,414655
mincut,1,N-t70n11xx_150,3.558016777038574,889908
mincut,1,N-t74d11xx_150,3.792699098587036,8699600
mincut,1,N-t75d11xx_150,3.625763177871704,8919637
mincut,1,N-t75e11xx_150,3.697519779205322,39144468
mincut,1,N-t75k11xx_150,3.0156497955322266,1416703
mincut,1,N-t75n11xx_150,3.362013339996338,1627597
mincut,1,N-tiw56n54_150,3.453499794006348,784454
mincut,1,N-tiw56n58_150,3.4880878925323486,1076874
mincut,1,N-tiw56n62_150,3.543402671813965,1499168
mincut,1,N-tiw56n66_150,3.608166694641113,1963875
mincut,1,N-tiw56n67_150,3.863992929458618,2211501
mincut,1,N-tiw56n72_150,3.847458600997925,3828960
mincut,1,N-tiw56r54_150,3.257730007171631,903123
mincut,1,N-tiw56r58_150,3.514871120452881,1139351
mincut,1,N-tiw56r66_150,3.5972745418548584,1791001
mincut,1,N-tiw56r67_150,3.649529695510864,1920958
mincut,1,N-tiw56r72_150,3.654151201248169,2632760
mincut,10,N-be75eec_150,3.109259366989136,3259582
mincut,10,N-be75np_150,3.287391901016236,6719270
mincut,10,N-be75oi_150,2.520944833755493,2181356
mincut,10,N-be75tot_150,3.5756466388702397,11424404
mincut,10,N-stabu1_150,3.439046859741211,2696987
mincut,10,N-stabu2_150,3.372109651565552,4036219
mincut,10,N-stabu3_150,3.3256239891052246,4217012
mincut,10,N-t59b11xx_150,2.444444417953491,3004450
mincut,10,N-t59d11xx_150,2.638076066970825,1349996
mincut,10,N-t59f11xx_150,2.48745059967041,1421150
mincut,10,N-t59n11xx_150,2.5816447734832764,299748
mincut,10,N-t65b11xx_150,3.269081354141236,6074010
mincut,10,N-t65d11xx_150,3.305238008499145,3287494
mincut,10,N-t65f11xx_150,3.3379037380218506,2928949
mincut,10,N-t65l11xx_150,1.5021376609802246,242243
mincut,10,N-t65n11xx_150,3.1858625411987305,521397
